pcd,lat,long
SE1 1XX,51.504551,-0.090593
SE1 1XY,51.504168,-0.089168
SE1 1XZ,51.492762,-0.080152
SE1 1YA,51.492762,-0.080152
SE1 1YB,51.504632,-0.090604
SE1 1YD,51.502175,-0.091024
SE1 1YE,51.492762,-0.080152
SE1 1YF,51.502059,-0.090495
SE1 1YG,51.501203,-0.09043
SE1 1YH,51.501203,-0.089854
SE1 1YJ,51.492762,-0.080152
SE1 1YL,51.502014,-0.089388
SE1 1YN,51.501338,-0.089344
SE1 1YP,51.504132,-0.09025
SE1 1YQ,51.501203,-0.089854
SE1 1YR,51.502544,-0.08872
SE1 1YS,51.492762,-0.080152
SE1 1YT,51.502737,-0.09126
SE1 1YU,51.50255,-0.090821
SE1 1YW,51.501712,-0.089083
SE1 1YX,51.502436,-0.089946
SE1 1YY,51.50191,-0.091294
SE1 1YZ,51.502173,-0.088704
SE1 1ZA,51.492762,-0.080152
SE1 1ZB,51.501838,-0.094063
SE1 1ZD,51.501838,-0.094063
SE1 1ZE,51.502173,-0.088704
SE1 1ZF,51.492762,-0.080152
SE1 1ZG,51.492762,-0.080152
SE1 1ZH,51.501838,-0.094063
SE1 1ZJ,51.501838,-0.094063
SE1 1ZL,51.501838,-0.094063
SE1 1ZN,51.501838,-0.094063
SE1 1ZP,51.501838,-0.094063
SE1 1ZQ,51.501838,-0.094063
SE1 1ZR,51.501838,-0.094063
SE1 1ZS,51.492762,-0.080152
SE1 1ZT,51.501838,-0.094063
SE1 1ZU,51.492762,-0.080152
SE1 1ZW,51.492762,-0.080152
SE1 1ZZ,51.492762,-0.080152
SE1 2AA,51.504851,-0.078693
SE1 2AB,51.502054,-0.078637
SE1 2AD,51.50134,-0.07786
SE1 2AE,51.501587,-0.077014
SE1 2AF,51.505335,-0.081295
SE1 2AG,51.502054,-0.078637
SE1 2AH,51.502054,-0.078637
SE1 2AJ,51.502054,-0.078637
SE1 2AL,51.502054,-0.078637
SE1 2AN,51.498086,-0.071961
SE1 2AP,51.50524,-0.080434
SE1 2AQ,51.504291,-0.079638
SE1 2AR,51.492762,-0.080152
SE1 2AS,51.502592,-0.071439
SE1 2AT,51.50446,-0.082225
SE1 2AU,51.504413,-0.080371
SE1 2AW,51.501533,-0.078155
SE1 2AX,51.501994,-0.069969
SE1 2AY,51.500482,-0.072177
SE1 2AZ,51.500403,-0.072324
SE1 2BA,51.50063,-0.071911
SE1 2BB,51.50194,-0.071178
SE1 2BD,51.500783,-0.072409
SE1 2BE,51.501622,-0.071509
SE1 2BF,51.500642,-0.071507
