pcd,reg,lat,long
SE1 0PP,SE1,51.502582,-0.096712
SE1 0PQ,SE1,51.504426,-0.099517
SE1 0PR,SE1,51.492762,-0.080152
SE1 0PS,SE1,51.492762,-0.080152
SE1 0PT,SE1,51.502722,-0.105352
SE1 0PU,SE1,51.502722,-0.105352
SE1 0PW,SE1,51.502689,-0.101088
SE1 0PX,SE1,51.505236,-0.09676
SE1 0PY,SE1,51.502948,-0.104276
SE1 0PZ,SE1,51.502705,-0.102615
SE1 0QA,SE1,51.502451,-0.103058
SE1 0QB,SE1,51.50242,-0.103895
SE1 0QD,SE1,51.500855,-0.101107
SE1 0QL,SE1,51.500707,-0.099661
SE1 0QN,SE1,51.500604,-0.101175
SE1 0QP,SE1,51.500952,-0.100959
SE1 0QR,SE1,51.501698,-0.10149
SE1 0QS,SE1,51.502451,-0.103058
SE1 0QT,SE1,51.500855,-0.101107
SE1 0QU,SE1,51.500878,-0.102547
SE1 0QW,SE1,51.500819,-0.101094
SE1 0QX,SE1,51.501359,-0.101158
SE1 0QY,SE1,51.500878,-0.102547
SE1 0QZ,SE1,51.501697,-0.102023
SE1 0RA,SE1,51.501645,-0.102126
SE1 0RB,SE1,51.501251,-0.101681
SE1 0RD,SE1,51.50092,-0.102217
SE1 0RE,SE1,51.500562,-0.101883
SE1 0RF,SE1,51.500908,-0.103252
SE1 0RG,SE1,51.499293,-0.10352
SE1 0RH,SE1,51.500835,-0.104335
SE1 0RJ,SE1,51.500676,-0.102814
SE1 0RL,SE1,51.500557,-0.103785
SE1 0RN,SE1,51.500199,-0.103901
SE1 0RP,SE1,51.499907,-0.103077
SE1 0RQ,SE1,51.500987,-0.10368
SE1 0RR,SE1,51.499661,-0.102871
SE1 0RS,SE1,51.499695,-0.102783
SE1 0RT,SE1,51.492762,-0.080152
SE1 0RU,SE1,51.499467,-0.102605
SE1 0RW,SE1,51.499723,-0.102307
SE1 0RX,SE1,51.499493,-0.103642
SE1 0RY,SE1,51.499621,-0.102657
SE1 0RZ,SE1,51.499447,-0.101871
SE1 0SA,SE1,51.499664,-0.10143
SE1 0SB,SE1,51.500273,-0.102399
SE1 0SD,SE1,51.500632,-0.102355
SE1 0SE,SE1,51.500562,-0.101883
SE1 0SF,SE1,51.506217,-0.101259
SE1 0SG,SE1,51.500855,-0.101107
SE1 0SH,SE1,51.501947,-0.101926
SE1 0SJ,SE1,51.499907,-0.103077
SE1 0SL,SE1,51.501049,-0.099773
SE1 0SN,SE1,51.506177,-0.10103
SE1 0SP,SE1,51.505372,-0.10236
SE1 0SQ,SE1,51.492762,-0.080152
SE1 0SR,SE1,51.50349,-0.101098
SE1 0SS,SE1,51.505372,-0.10236
SE1 0ST,SE1,51.506217,-0.101259
SE1 0SU,SE1,51.506026,-0.100013
SE1 0SW,SE1,51.505836,-0.099822
SE1 0SX,SE1,51.506226,-0.101258
SE1 0SY,SE1,51.506084,-0.098598
SE1 0SZ,SE1,51.506699,-0.10268
SE1 0TA,SE1,51.506312,-0.099871
SE1 0TB,SE1,51.505325,-0.09948
SE1 0TD,SE1,51.505752,-0.09867
SE1 0TE,SE1,51.505752,-0.09867
SE1 0TF,SE1,51.506312,-0.099871
SE1 0TG,SE1,51.505942,-0.097034
SE1 0TH,SE1,51.505886,-0.096344
SE1 0TJ,SE1,51.505845,-0.096072
SE1 0TL,SE1,51.505638,-0.096023
SE1 0TN,SE1,51.505441,-0.096118
SE1 0TP,SE1,51.505551,-0.096762
SE1 0TQ,SE1,51.505944,-0.09663
SE1 0TR,SE1,51.505747,-0.096681
SE1 0TS,SE1,51.505715,-0.096942
SE1 0TT,SE1,51.502689,-0.101088
SE1 0TU,SE1,51.505372,-0.10236
SE1 0TW,SE1,51.505446,-0.096377
SE1 0TX,SE1,51.506007,-0.100489
SE1 0TY,SE1,51.502689,-0.101088
SE1 0TZ,SE1,51.492762,-0.080152
SE1 0UA,SE1,51.492762,-0.080152
SE1 0UD,SE1,51.506114,-0.099908
SE1 0UE,SE1,51.504645,-0.101929
SE1 0UF,SE1,51.504795,-0.10175
SE1 0UG,SE1,51.505319,-0.101339
SE1 0UH,SE1,51.505232,-0.102063
SE1 0UJ,SE1,51.505869,-0.102556
SE1 0UL,SE1,51.50601,-0.102812
SE1 0UN,SE1,51.506226,-0.10293
SE1 0UP,SE1,51.506626,-0.102625
SE1 0UQ,SE1,51.504973,-0.102204
SE1 0UR,SE1,51.505844,-0.103219
SE1 0US,SE1,51.492762,-0.080152
SE1 0UT,SE1,51.492762,-0.080152
SE1 0UU,SE1,51.505156,-0.102945
SE1 0UW,SE1,51.505839,-0.104027
SE1 0UX,SE1,51.505168,-0.102991
SE1 0UY,SE1,51.492762,-0.080152
SE1 0UZ,SE1,51.492762,-0.080152
SE1 0WA,SE1,51.492762,-0.080152
SE1 0WB,SE1,51.492762,-0.080152
SE1 0WD,SE1,51.492762,-0.080152
SE1 0WE,SE1,51.492762,-0.080152
SE1 0WF,SE1,51.492762,-0.080152
SE1 0WG,SE1,51.492762,-0.080152
SE1 0WH,SE1,51.492762,-0.080152
SE1 0WJ,SE1,51.492762,-0.080152
SE1 0WL,SE1,51.492762,-0.080152
SE1 0WN,SE1,51.492762,-0.080152
SE1 0WP,SE1,51.492762,-0.080152
SE1 0WQ,SE1,51.492762,-0.080152
SE1 0WR,SE1,51.492762,-0.080152
SE1 0WS,SE1,51.492762,-0.080152
SE1 0WT,SE1,51.492762,-0.080152
SE1 0WU,SE1,51.492762,-0.080152
SE1 0WW,SE1,51.492762,-0.080152
SE1 0WX,SE1,51.492762,-0.080152
SE1 0WY,SE1,51.492762,-0.080152
SE1 0WZ,SE1,51.492762,-0.080152
SE1 0XA,SE1,51.504727,-0.10364
SE1 0XB,SE1,51.492762,-0.080152
SE1 0XD,SE1,51.504727,-0.10364
SE1 0XE,SE1,51.504491,-0.103521
SE1 0XF,SE1,51.492762,-0.080152
SE1 0XG,SE1,51.492762,-0.080152
SE1 0XH,SE1,51.504335,-0.102637
SE1 0XJ,SE1,51.492762,-0.080152
SE1 0XL,SE1,51.505322,-0.103745
SE1 0XN,SE1,51.504278,-0.103659
SE1 0XP,SE1,51.504945,-0.103776
SE1 0XQ,SE1,51.492762,-0.080152
SE1 0XR,SE1,51.492762,-0.080152
SE1 0XS,SE1,51.492762,-0.080152
SE1 0XT,SE1,51.492762,-0.080152
SE1 0XU,SE1,51.492762,-0.080152
SE1 0XW,SE1,51.492762,-0.080152
SE1 0XX,SE1,51.492762,-0.080152
SE1 0XZ,SE1,51.492762,-0.080152
SE1 0YA,SE1,51.492762,-0.080152
SE1 0YB,SE1,51.492762,-0.080152
SE1 0YD,SE1,51.502689,-0.101088
SE1 0YE,SE1,51.492762,-0.080152
SE1 0YF,SE1,51.492762,-0.080152
SE1 0YH,SE1,51.492762,-0.080152
SE1 0YJ,SE1,51.492762,-0.080152
SE1 0YL,SE1,51.492762,-0.080152
SE1 0YN,SE1,51.492762,-0.080152
SE1 0YP,SE1,51.492762,-0.080152
SE1 0YQ,SE1,51.492762,-0.080152
SE1 0YR,SE1,51.502689,-0.101088
SE1 0YS,SE1,51.502689,-0.101088
SE1 0ZA,SE1,51.492762,-0.080152
SE1 0ZB,SE1,51.503598,-0.103875
SE1 0ZD,SE1,51.492762,-0.080152
SE1 0ZE,SE1,51.502689,-0.101088
SE1 0ZF,SE1,51.502689,-0.101088
SE1 0ZG,SE1,51.502689,-0.101088
SE1 0ZH,SE1,51.502689,-0.101088
SE1 0ZJ,SE1,51.502689,-0.101088
SE1 0ZL,SE1,51.502689,-0.101088
SE1 0ZN,SE1,51.492762,-0.080152
SE1 0ZP,SE1,51.492762,-0.080152
SE1 0ZQ,SE1,51.492762,-0.080152
SE1 0ZR,SE1,51.502689,-0.101088
SE1 0ZS,SE1,51.492762,-0.080152
SE1 0ZT,SE1,51.492762,-0.080152
SE1 0ZU,SE1,51.502689,-0.101088
SE1 0ZW,SE1,51.503598,-0.103875
SE1 0ZZ,SE1,51.492762,-0.080152
SE1 1AA,SE1,51.502166,-0.092148
SE1 1AE,SE1,51.500689,-0.093636
SE1 1AF,SE1,51.501283,-0.096464
SE1 1AG,SE1,51.492762,-0.080152
SE1 1AH,SE1,51.492762,-0.080152
SE1 1AJ,SE1,51.492762,-0.080152
SE1 1AL,SE1,51.492762,-0.080152
SE1 1AN,SE1,51.501938,-0.094019
SE1 1AP,SE1,51.501664,-0.093757
SE1 1AQ,SE1,51.492762,-0.080152
SE1 1AR,SE1,51.492762,-0.080152
SE1 1AS,SE1,51.502168,-0.092122
SE1 1AT,SE1,51.502168,-0.092122
SE1 1AU,SE1,51.500095,-0.09571
SE1 1AW,SE1,51.492762,-0.080152
SE1 1AX,SE1,51.492762,-0.080152
SE1 1AY,SE1,51.498921,-0.095442
SE1 1BA,SE1,51.500338,-0.093045
SE1 1BB,SE1,51.500297,-0.093335
SE1 1BD,SE1,51.492762,-0.080152
SE1 1BE,SE1,51.500502,-0.093197
SE1 1BF,SE1,51.500407,-0.09346
SE1 1BG,SE1,51.500267,-0.093711
SE1 1BH,SE1,51.500145,-0.093932
SE1 1BJ,SE1,51.500052,-0.093763
SE1 1BL,SE1,51.50287,-0.092306
SE1 1BY,SE1,51.499726,-0.093618
SE1 1DA,SE1,51.499823,-0.094047
SE1 1DB,SE1,51.499536,-0.095154
SE1 1DD,SE1,51.499823,-0.095156
SE1 1DE,SE1,51.498964,-0.095422
SE1 1DF,SE1,51.499228,-0.094363
SE1 1DG,SE1,51.498964,-0.095422
SE1 1DH,SE1,51.498089,-0.0969
SE1 1DL,SE1,51.498112,-0.098339
